tsample,q1,q2,qd1,qd2,qdd1,qdd2
7.25,0.024,0.235345982142857,0,-0.0394464285714286,0,-0.0315571428571429
7.3,0.024,0.233334214285714,0,-0.0410242857142857,0,-0.0315571428571429
7.35,0.024,0.231243553571429,0,-0.0426021428571428,0,-0.0315571428571429
7.4,0.024,0.229074,0,-0.04418,0,-0.0315571428571429
7.45,0.024,0.226825553571429,0,-0.0457578571428571,0,-0.0315571428571429
7.5,0.024,0.2245,0,-0.047,0,0
7.55,0.024,0.22215,0,-0.047,0,0
7.6,0.024,0.2198,0,-0.047,0,0
7.65,0.024,0.21745,0,-0.047,0,0
7.7,0.024,0.2151,0,-0.047,0,0
7.75,0.024,0.21275,0,-0.047,0,0
7.8,0.024,0.2104,0,-0.047,0,0
7.85,0.024,0.20805,0,-0.047,0,0
7.9,0.024,0.2057,0,-0.047,0,0
7.95,0.024,0.20335,0,-0.047,0,0
8,0.024,0.201,0,-0.047,0,0
8.05,0.024,0.19865,0,-0.047,0,0
8.1,0.024,0.1963,0,-0.047,0,0
8.15,0.024,0.19395,0,-0.047,0,0
8.2,0.024,0.1916,0,-0.047,0,0
8.25,0.024,0.18925,0,-0.047,0,0
8.3,0.024,0.1869,0,-0.047,0,0
8.35,0.024,0.18455,0,-0.047,0,0
8.4,0.024,0.1822,0,-0.047,0,0
8.45,0.024,0.17985,0,-0.047,0,0
8.5,0.024,0.1775,0,-0.047,0,0
8.55,0.024,0.17515,0,-0.047,0,0
8.6,0.024,0.1728,0,-0.047,0,0
8.65,0.024,0.17045,0,-0.047,0,0
8.7,0.024,0.1681,0,-0.047,0,0
8.75,0.024,0.16575,0,-0.047,0,0
8.8,0.024,0.1634,0,-0.047,0,0
8.85,0.024,0.16105,0,-0.047,0,0
8.9,0.024,0.1587,0,-0.047,0,0
8.95,0.024,0.15635,0,-0.047,0,0
9,0.024,0.154007142857143,0,-0.0463285714285714,0,0.0315571428571429
9.05,0.024,0.151730160714286,0,-0.0447507142857143,0,0.0315571428571429
9.1,0.024,0.149532071428571,0,-0.0431728571428572,0,0.0315571428571429
9.15,0.024,0.147412875,0,-0.041595,0,0.0315571428571429
9.2,0.024,0.145372571428571,0,-0.0400171428571429,0,0.0315571428571429
9.25,0.024,0.143411160714286,0,-0.0384392857142857,0,0.0315571428571429
9.3,0.024,0.141528642857143,0,-0.0368614285714286,0,0.0315571428571429
9.35,0.024,0.139725017857143,0,-0.0352835714285714,0,0.0315571428571429
9.4,0.024,0.138000285714286,0,-0.0337057142857143,0,0.0315571428571429
9.45,0.024,0.136354446428571,0,-0.0321278571428572,0,0.0315571428571429
9.5,0.024,0.1347875,0,-0.03055,0,0.0315571428571429
9.55,0.024,0.133299446428571,0,-0.0289721428571428,0,0.0315571428571429
9.6,0.024,0.131890285714286,0,-0.0273942857142857,0,0.0315571428571429
9.65,0.024,0.130560017857143,0,-0.0258164285714286,0,0.0315571428571429
9.7,0.024,0.129308642857143,0,-0.0242385714285715,0,0.0315571428571429
9.75,0.024,0.128136160714286,0,-0.0226607142857143,0,0.0315571428571429
9.8,0.024,0.127042571428571,0,-0.0210828571428571,0,0.0315571428571429
9.85,0.024,0.126027875,0,-0.019505,0,0.0315571428571429
9.9,0.024,0.125092071428571,0,-0.0179271428571429,0,0.0315571428571429
9.95,0.024,0.124235160714286,0,-0.0163492857142858,0,0.0315571428571429
10,0.024,0.123457142857143,0,-0.0147714285714286,0,0.0315571428571429
10.05,0.024,0.122758017857143,0,-0.0131935714285714,0,0.0315571428571429
10.1,0.024,0.122137785714286,0,-0.0116157142857143,0,0.0315571428571429
10.15,0.024,0.121596446428571,0,-0.0100378571428571,0,0.0315571428571429
10.2,0.024,0.121134,0,-0.00846000000000004,0,0.0315571428571429
10.25,0.024,0.120750446428571,0,-0.00688214285714287,0,0.0315571428571429
10.3,0.024,0.120445785714286,0,-0.00530428571428571,0,0.0315571428571429
10.35,0.024,0.120220017857143,0,-0.0037264285714286,0,0.0315571428571429
10.4,0.024,0.120073142857143,0,-0.00214857142857143,0,0.0315571428571429
10.45,0.024,0.120005160714286,0,-0.000570714285714327,0,0.0315571428571429
10.5,0.023953125,0.12,-0.00293749999999996,0,-0.0920416666666667,0
10.55,0.0236911979166667,0.12,-0.00753958333333336,0,-0.0920416666666667,0
10.6,0.0231991666666667,0.12,-0.0121416666666666,0,-0.0920416666666667,0
10.65,0.02247703125,0.12,-0.01674375,0,-0.0920416666666667,0
10.7,0.0215247916666667,0.12,-0.0213458333333332,0,-0.0920416666666667,0
10.75,0.0203424479166667,0.12,-0.0259479166666666,0,-0.0920416666666667,0
10.8,0.01893,0.12,-0.03055,0,-0.0920416666666667,0
10.85,0.0172874479166667,0.12,-0.0351520833333333,0,-0.0920416666666667,0
10.9,0.0154147916666667,0.12,-0.0397541666666667,0,-0.0920416666666667,0
10.95,0.0133120312500001,0.12,-0.0443562499999999,0,-0.0920416666666667,0
11,0.011,0.12,-0.047,0,0,0
11.05,0.00864999999999998,0.12,-0.047,0,0,0
11.1,0.00630000000000003,0.12,-0.047,0,0,0
11.15,0.00394999999999999,0.12,-0.047,0,0,0
11.2,0.00160000000000004,0.12,-0.047,0,0,0
11.25,-0.00074999999999999,0.12,-0.047,0,0,0
11.3,-0.00310000000000002,0.12,-0.047,0,0,0
11.35,-0.00544999999999998,0.12,-0.047,0,0,0
11.4,-0.00780000000000001,0.12,-0.047,0,0,0
11.45,-0.01015,0.12,-0.047,0,0,0
11.5,-0.0124947916666667,0.12,-0.0460208333333334,0,0.0920416666666667,0
11.55,-0.01468078125,0.12,-0.04141875,0,0.0920416666666667,0
11.6,-0.0166366666666666,0.12,-0.0368166666666667,0,0.0920416666666667,0
11.65,-0.0183624479166667,0.12,-0.0322145833333333,0,0.0920416666666667,0
11.7,-0.019858125,0.12,-0.0276125000000001,0,0.0920416666666667,0
11.75,-0.0211236979166667,0.12,-0.0230104166666667,0,0.0920416666666667,0
11.8,-0.0221591666666667,0.12,-0.0184083333333333,0,0.0920416666666667,0
11.85,-0.02296453125,0.12,-0.01380625,0,0.0920416666666667,0
11.9,-0.0235397916666667,0.12,-0.00920416666666665,0,0.0920416666666667,0
11.95,-0.0238849479166667,0.12,-0.00460208333333342,0,0.0920416666666667,0
12,-0.024,0.12,0,0,0,0
